fecha,heladas_friaje,inundaciones_huaicos,lluvias_intensas,deslizamientos,sequias,granizadas,el_nino_variabilidad,cambio_climatico,impacto_agricola,impacto_ganadero,seguridad_alimentaria,emergencias_institucional,total
2025-04,5,23,15,12,5,1,3,5,0,0,3,21,595
2025-05,14,7,7,13,3,0,0,13,2,0,8,7,718
2025-06,8,14,1,7,2,0,6,3,0,0,0,4,432
2025-07,13,11,5,6,3,0,11,19,0,0,0,12,837
2025-08,8,2,16,10,8,0,0,7,1,0,5,14,632
2025-09,3,2,6,6,5,0,0,2,0,0,1,8,533
2025-10,7,2,7,11,3,0,0,10,1,0,3,71,757
2025-11,6,6,15,12,2,3,5,13,0,0,4,44,722
2025-12,6,3,10,24,2,1,3,3,2,0,3,27,652
2026-01,9,26,25,12,11,7,6,5,0,0,3,26,890
2026-02,0,27,6,10,0,2,14,6,0,0,0,13,426
